Season,batter,pitcher,events,stand,launch_speed,launch_angle,adjusted_angle,home_team
2026,663538,686218,home_run,R,100.7,27,-12.057432676704336,CHC
2026,672279,592791,field_out,L,90.7,45,29.85842513566978,CHC
2026,696486,592791,sac_fly,L,85.8,40,-1.349250482620816,CHC
2026,701394,592791,triple,R,100.9,14,40.65842679981184,CHC
2026,687221,592791,field_out,L,100.5,44,35.47648181035321,CHC
2026,605141,592791,home_run,R,101.0,30,-9.543086459740666,CHC
2026,699393,686218,field_out,L,84.8,20,10.607232771090612,CHC
2026,807713,686218,single,R,79.6,14,10.22763375269581,CHC
2026,624424,686218,field_out,L,84.3,31,-33.30413993080561,CHC
2026,669743,592791,field_out,R,103.5,10,-20.23120857332696,CHC
2026,808975,592791,grounded_into_double_play,L,96.8,-3,-20.188135652567826,CHC
2026,672279,592791,single,L,101.1,-7,-13.671307132195828,CHC
2026,696486,592791,single,L,113.5,12,-17.077994789355206,CHC
2026,664023,686218,double,L,93.7,28,-44.403377246608805,CHC
2026,683737,686218,field_out,L,100.8,60,-43.1793921287683,CHC
2026,669261,592791,home_run,L,111.1,30,-22.05276699725569,CHC
2026,669289,592791,single,R,94.7,7,0.16781968750857768,CHC
2026,605141,592791,field_out,R,93.1,36,29.898248232341412,CHC
2026,695501,666619,double,L,107.1,-1,-47.33476825683016,SF
2026,624512,666619,field_out,L,94.4,5,13.310230555957101,SF
2026,674441,666619,field_out,L,97.2,-12,-34.27253690004299,SF
2026,678545,668834,field_out,R,91.9,59,18.144517158323364,SF
2026,666152,657424,field_out,L,92.7,40,40.78481669359082,SF
2026,702726,663941,field_out,R,89.8,10,-17.382881865071184,SF
2026,669003,663941,field_out,L,110.1,15,10.52447758622201,SF
2026,666931,669084,grounded_into_double_play,R,92.1,-1,-33.24235342300218,SF
2026,682674,669084,single,R,106.4,8,-0.12130740697142872,SF
2026,805811,669084,single,L,83.1,11,-29.79455999905668,SF
2026,683679,669084,field_out,R,87.1,26,-23.097771523107404,SF
2026,682641,669084,single,R,89.1,18,14.722387665761707,SF
2026,592885,663941,field_out,L,97.0,-15,-34.71107892584158,SF
2026,641343,663941,field_out,L,93.9,47,47.40962015793507,SF
2026,666149,621097,double,R,102.4,27,6.308709092662497,SF
2026,642715,621097,sac_fly,R,101.6,35,-8.688269519452241,SF
2026,669477,621097,field_out,R,77.1,6,48.297216601651265,SF
2026,806198,693313,field_out,R,79.5,50,25.052574342345984,SF
2026,663368,693313,field_out,L,68.4,-50,-169.59822136061683,SF
2026,666464,675660,field_out,R,89.3,36,29.830374122077867,SF
2026,687529,675660,single,L,84.3,13,0.45407535785979564,SF
2026,650859,592662,field_out,R,93.5,0,17.787233790940785,SF
2026,682641,675660,field_out,R,86.2,59,8.076214968668872,SF
2026,672275,675660,grounded_into_double_play,R,86.8,-7,-8.519187781459475,SF
2026,656305,675660,single,R,79.6,15,-40.19816476606984,SF
2026,686217,592662,field_out,L,81.4,-6,0.4374541165658279,SF
2026,642715,675660,field_out,R,95.6,2,-19.495424203288106,SF
2026,663368,592662,field_out,R,64.6,36,16.814407437398785,SF
2026,666464,689337,field_out,R,98.0,23,1.3260543767049018,SF
2026,682641,689337,field_error,R,78.4,-6,-18.088556274165377,SF
2026,656305,689337,double,R,98.5,23,16.086707972866176,SF
2026,683766,675660,single,R,97.7,-13,1.4299941267303211,SF
2026,666464,675660,home_run,R,115.4,28,-33.55797374384669,SF
2026,687529,675660,single,L,45.0,-60,59.802972592605734,SF
2026,666152,592662,field_out,L,95.8,47,29.65374311397761,SF
2026,650859,592662,field_out,R,90.7,-2,0.4058528117756199,SF
2026,672275,675660,field_out,R,102.4,-3,-46.488684072482236,SF
2026,656305,675660,double,R,89.5,30,41.28598398382049,SF
2026,592885,592662,field_out,L,82.3,-3,9.337705024595698,SF
2026,686217,592662,field_out,L,92.5,-17,-28.265950898757207,SF
2026,681400,687866,field_out,L,94.5,17,-14.952233364773534,AZ
2026,699471,687866,field_out,R,69.1,1,25.057868737132512,AZ
2026,622569,694851,double,R,107.4,16,-2.7757544795590814,AZ
2026,677578,694851,field_out,L,83.8,31,36.710710154196114,AZ
2026,678010,694851,field_out,L,85.7,-13,-30.21274520004005,AZ
